strategy,seed,output,rmse,nrmse,r2,mae
lhs,21,v_out_ripple,0.04203467042646957,0.030933686533596075,0.909891032775366,0.01962636539438745
lhs,21,i_l_ripple,0.048430557714072744,0.008033441744671195,0.9972370371607695,0.015245545065665767
lhs,21,efficiency,0.1682623235073488,0.0721476167826411,0.5742552474514677,0.10454005415425158
lhs,22,v_out_mean,0.5422286819062886,0.0059478700238428895,0.9991187470025318,0.3439829885369334
lhs,22,i_l_mean,0.8643161858739936,0.022902005387915488,0.9645008582190728,0.5702809427286825
lhs,22,v_out_ripple,0.036133185966657294,0.026590731812871884,0.9334167129715178,0.017331938512903926
lhs,22,i_l_ripple,0.048370429239631835,0.008023467905437941,0.997243893559625,0.013096724595979884
lhs,22,efficiency,0.2290819704315639,0.09822590030849626,0.21085399838384378,0.13968671793276702
lhs,23,v_out_mean,1.3363890476606637,0.014659254705649355,0.9946469481526569,0.4853619875543834
lhs,23,i_l_mean,1.7163558096403468,0.04547871559320061,0.8600131598586822,0.686209073879889
lhs,23,v_out_ripple,0.044920204003837616,0.0330571762685902,0.8970950754411712,0.013472447677177589
lhs,23,i_l_ripple,0.06931740942286427,0.011498058184209037,0.9943399437082584,0.015440726248744907
lhs,23,efficiency,0.20171752913146326,0.08649255927743348,0.3881248438873792,0.11380251682080214
lhs,24,v_out_mean,0.8385003454204143,0.009197763297903016,0.9978926235328224,0.48222546708497505
lhs,24,i_l_mean,0.8915194217127203,0.02362281643360621,0.9622311136768564,0.5902582624605018
lhs,24,v_out_ripple,0.09705736634473544,0.07142537614363795,0.519592560893328,0.042676616989631676
lhs,24,i_l_ripple,0.03255749677232016,0.005400490228027143,0.9987513574922335,0.011918480479964596
lhs,24,efficiency,0.1940964986274657,0.08322480939243192,0.4334856142932738,0.11969522081378284
lhs,25,v_out_mean,0.7153500098786505,0.007846890107978986,0.9984661856051695,0.44211007639103544
lhs,25,i_l_mean,1.0185034867389904,0.02698754544012169,0.9507055980606383,0.5922434614104957
lhs,25,v_out_ripple,0.11772353464708793,0.08663379256821283,0.2932280496095073,0.04262181258579845
lhs,25,i_l_ripple,0.04492251471702983,0.007451543447713174,0.997622808205343,0.016889356729441085
lhs,25,efficiency,0.2671851773338626,0.11456381549042152,-0.07349558468984152,0.15819542111388443
lhs,26,v_out_mean,1.024301028134185,0.011235867050064498,0.9968552157799935,0.4884311127987368
lhs,26,i_l_mean,0.9449048824222172,0.02503738453818119,0.9575723724436073,0.48746235855542963
lhs,26,v_out_ripple,0.0362016265512651,0.026641097845695603,0.9331642406406941,0.018230952484149302
lhs,26,i_l_ripple,0.05048937160987914,0.008374948476696176,0.9969971334356885,0.014437716545536992
lhs,26,efficiency,0.20687578448183985,0.08870431900194319,0.356431385416619,0.12837514811019132
lhs,27,v_out_mean,0.8791301811481407,0.00964344422564186,0.9976834482086401,0.39743090053913965
lhs,27,i_l_mean,0.925738534756005,0.02452952895860022,0.9592761109280578,0.47954952551362806
lhs,27,v_out_ripple,0.041648440680890235,0.03064945664054621,0.9115393327595847,0.013707958755766945
lhs,27,i_l_ripple,0.036091516484001954,0.005986697424853742,0.9984655725318836,0.009668681085346149
lhs,27,efficiency,0.21125335688705077,0.09058133703988576,0.3289068932384348,0.11408266092129171
