strategy,N,rep,output,rmse,nrmse,r2,mae
lhs,80,1,v_out_ripple,0.04454024750359687,0.03277756291238679,0.8988285508424959,0.02499413448953518
lhs,80,1,i_l_ripple,0.04137558955047347,0.006863195552434673,0.9979833780348967,0.01464241471553464
lhs,80,1,efficiency,0.22610220077043341,0.09694823294285816,0.23125001634249198,0.13099301425482052
lhs,80,2,v_out_mean,0.99311500982445,0.010893778205159856,0.9970437937832367,0.5310285601830718
lhs,80,2,i_l_mean,1.0630133521644496,0.028166934643343057,0.9463030027009978,0.5748452812614899
lhs,80,2,v_out_ripple,0.050173978880898445,0.03692347576650996,0.8716163247533324,0.0249117780786883
lhs,80,2,i_l_ripple,0.09326446123627546,0.015470286768389916,0.9897536667945391,0.03242712738530927
lhs,80,2,efficiency,0.1979366677771258,0.0848713993503918,0.410847059172041,0.11767207570636894
lhs,80,3,v_out_mean,0.790304324888497,0.008669086606027374,0.9981279202245132,0.49487223279307346
lhs,80,3,i_l_mean,1.2685417587118688,0.033612873006002505,0.923531583295372,0.6470302990528745
lhs,80,3,v_out_ripple,0.056963493219378054,0.04191993954583889,0.8345198343986348,0.021988546505253594
lhs,80,3,i_l_ripple,0.06083872013949498,0.01009165157557064,0.9956399020909639,0.01874615679272346
lhs,80,3,efficiency,0.18576413993929547,0.07965205579555579,0.48108132228541745,0.11035256077625771
lhs,80,4,v_out_mean,1.1550814711083108,0.012670437190721744,0.9960009128467582,0.6200632124562085
lhs,80,4,i_l_mean,1.0699353218668668,0.028350347831723237,0.9456014138794699,0.6303709758167098
lhs,80,4,v_out_ripple,0.10649882086363265,0.07837342620673202,0.4215813100724606,0.04735528984834998
lhs,80,4,i_l_ripple,0.05638665210602617,0.009353162677686403,0.9962546817872713,0.01868980044604605
lhs,80,4,efficiency,0.22520693669876066,0.09656436109433057,0.237325779316099,0.13462252275355727
lhs,80,5,v_out_mean,1.5369650557659698,0.01685943346033537,0.9929195049838537,0.5323347302637675
lhs,80,5,i_l_mean,1.493568655492752,0.03957546781416339,0.8939958316070837,0.7173041571346704
